State,Rating Area ID,Market,County,MSA,Three Digit Zip,FIPS
Texas,22,Small Group,KARNES,,,48255
Texas,22,Small Group,LAVACA,,,48285
Texas,23,Small Group,MCLENNAN,,,48309
Texas,23,Small Group,BOSQUE,,,48035
Texas,23,Small Group,FALLS,,,48145
Texas,23,Small Group,FREESTONE,,,48161
Texas,23,Small Group,HILL,,,48217
Texas,23,Small Group,LIMESTONE,,,48293
Texas,24,Small Group,ARCHER,,,48009
Texas,24,Small Group,CLAY,,,48077
Texas,24,Small Group,WICHITA,,,48485
Texas,24,Small Group,BAYLOR,,,48023
Texas,24,Small Group,COTTLE,,,48101
Texas,24,Small Group,FOARD,,,48155
Texas,24,Small Group,HARDEMAN,,,48197
Texas,24,Small Group,JACK,,,48237
Texas,24,Small Group,KNOX,,,48275
Texas,24,Small Group,MONTAGUE,,,48337
Texas,24,Small Group,WILBARGER,,,48487
Texas,24,Small Group,YOUNG,,,48503
Texas,25,Small Group,DENTON,,,48121
Texas,25,Small Group,JOHNSON,,,48251
Texas,25,Small Group,PARKER,,,48367
Texas,25,Small Group,TARRANT,,,48439
Texas,25,Small Group,WISE,,,48497
Texas,25,Small Group,ERATH,,,48143
Texas,25,Small Group,HOOD,,,48221
Texas,25,Small Group,PALO PINTO,,,48363
Texas,25,Small Group,SOMERVELL,,,48425
Texas,26,Small Group,AUSTIN,,,48015
Texas,26,Small Group,BRAZORIA,,,48039
Texas,26,Small Group,FORT BEND,,,48157
Texas,26,Small Group,WALLER,,,48473
Texas,26,Small Group,COLORADO,,,48089
Texas,26,Small Group,MATAGORDA,,,48321
Texas,26,Small Group,WHARTON,,,48481
Texas,27,Individual,CHAMBERS,,,48071
Texas,27,Individual,LIBERTY,,,48291
Texas,27,Individual,MONTGOMERY,,,48339
Texas,27,Individual,WALKER,,,48471
Texas,27,Small Group,CHAMBERS,,,48071
Texas,27,Small Group,LIBERTY,,,48291
Texas,27,Small Group,MONTGOMERY,,,48339
Texas,27,Small Group,WALKER,,,48471
